can_number,region_number,can_name,can_vote,region_name
1,100000200000000,朱立倫,"51,581",臺北市士林區
1,100000100000000,朱立倫,"47,931",臺北市北投區
2,100000100000000,蔡英文,"78,971",臺北市北投區
3,100000100000000,宋楚瑜,"14,163",臺北市北投區
1,100000300000000,朱立倫,"19,312",臺北市大同區
2,100000300000000,蔡英文,"45,920",臺北市大同區
3,100000300000000,宋楚瑜,"7,257",臺北市大同區
1,100000400000000,朱立倫,"43,333",臺北市中山區
2,100000400000000,蔡英文,"69,001",臺北市中山區
3,100000400000000,宋楚瑜,"13,195",臺北市中山區
1,100000500000000,朱立倫,"45,353",臺北市松山區
2,100000500000000,蔡英文,"54,812",臺北市松山區
3,100000500000000,宋楚瑜,"11,710",臺北市松山區
1,100000600000000,朱立倫,"57,500",臺北市內湖區
2,100000600000000,蔡英文,"77,297",臺北市內湖區
3,100000600000000,宋楚瑜,"17,327",臺北市內湖區
1,100000700000000,朱立倫,"23,860",臺北市南港區
2,100000700000000,蔡英文,"34,593",臺北市南港區
3,100000700000000,宋楚瑜,"7,703",臺北市南港區
1,100000800000000,朱立倫,"37,911",臺北市萬華區
2,100000800000000,蔡英文,"60,566",臺北市萬華區
3,100000800000000,宋楚瑜,"11,239",臺北市萬華區
2,100000200000000,蔡英文,"93,585",臺北市士林區
3,100000200000000,宋楚瑜,"15,348",臺北市士林區
1,100000900000000,朱立倫,"33,780",臺北市中正區
2,100000900000000,蔡英文,"41,640",臺北市中正區
3,100000900000000,宋楚瑜,"9,015",臺北市中正區
1,100001100000000,朱立倫,"50,633",臺北市信義區
2,100001100000000,蔡英文,"60,817",臺北市信義區
3,100001100000000,宋楚瑜,"13,549",臺北市信義區
1,100001000000000,朱立倫,"69,737",臺北市大安區
2,100001000000000,蔡英文,"76,278",臺北市大安區
3,100001000000000,宋楚瑜,"16,442",臺北市大安區
1,200000100000000,朱立倫,"2,431",新北市石門區
2,200000100000000,蔡英文,"3,199",新北市石門區
3,200000100000000,宋楚瑜,602,新北市石門區
1,200000300000000,朱立倫,"31,080",新北市淡水區
2,200000300000000,蔡英文,"44,551",新北市淡水區
3,200000300000000,宋楚瑜,"9,473",新北市淡水區
1,100001200000000,朱立倫,"65,560",臺北市文山區
2,100001200000000,蔡英文,"63,903",臺北市文山區
3,100001200000000,宋楚瑜,"16,856",臺北市文山區
1,200000500000000,朱立倫,"16,800",新北市林口區
2,200000500000000,蔡英文,"25,267",新北市林口區
3,200000500000000,宋楚瑜,"6,914",新北市林口區
1,200000200000000,朱立倫,"4,428",新北市三芝區
2,200000200000000,蔡英文,"6,182",新北市三芝區
3,200000200000000,宋楚瑜,"1,230",新北市三芝區
1,200000400000000,朱立倫,"6,231",新北市八里區
2,200000400000000,蔡英文,"10,907",新北市八里區
3,200000400000000,宋楚瑜,"2,505",新北市八里區
1,200000700000000,朱立倫,"12,466",新北市五股區
2,200000700000000,蔡英文,"25,832",新北市五股區
3,200000700000000,宋楚瑜,"5,086",新北市五股區
1,200001100000000,朱立倫,"28,553",新北市樹林區
2,200001100000000,蔡英文,"56,357",新北市樹林區
3,200001100000000,宋楚瑜,"11,940",新北市樹林區
1,200000800000000,朱立倫,"25,696",新北市蘆洲區
2,200000800000000,蔡英文,"65,650",新北市蘆洲區
3,200000800000000,宋楚瑜,"11,538",新北市蘆洲區
1,200001200000000,朱立倫,"13,152",新北市鶯歌區
2,200001200000000,蔡英文,"26,487",新北市鶯歌區
3,200001200000000,宋楚瑜,"5,968",新北市鶯歌區
1,200000600000000,朱立倫,"12,190",新北市泰山區
2,200000600000000,蔡英文,"23,671",新北市泰山區
3,200000600000000,宋楚瑜,"4,938",新北市泰山區
1,200000900000000,朱立倫,"58,077",新北市三重區
2,200000900000000,蔡英文,"134,575",新北市三重區
3,200000900000000,宋楚瑜,"24,853",新北市三重區
1,200001300000000,朱立倫,"94,831",新北市板橋區
2,200001300000000,蔡英文,"176,162",新北市板橋區
3,200001300000000,宋楚瑜,"33,649",新北市板橋區
1,200001000000000,朱立倫,"59,249",新北市新莊區
2,200001000000000,蔡英文,"131,027",新北市新莊區
3,200001000000000,宋楚瑜,"26,039",新北市新莊區
1,200001400000000,朱立倫,"93,211",新北市中和區
2,200001400000000,蔡英文,"111,200",新北市中和區
3,200001400000000,宋楚瑜,"28,207",新北市中和區
1,200001500000000,朱立倫,"54,466",新北市永和區
2,200001500000000,蔡英文,"53,214",新北市永和區
3,200001500000000,宋楚瑜,"15,051",新北市永和區
1,200001600000000,朱立倫,"39,199",新北市土城區
2,200001600000000,蔡英文,"71,733",新北市土城區
3,200001600000000,宋楚瑜,"14,898",新北市土城區
1,200001700000000,朱立倫,"17,711",新北市三峽區
2,200001700000000,蔡英文,"30,995",新北市三峽區
3,200001700000000,宋楚瑜,"7,388",新北市三峽區
1,200001800000000,朱立倫,"75,420",新北市新店區
2,200001800000000,蔡英文,"69,922",新北市新店區
3,200001800000000,宋楚瑜,"20,156",新北市新店區
1,200001900000000,朱立倫,"4,582",新北市深坑區
2,200001900000000,蔡英文,"6,702",新北市深坑區
3,200001900000000,宋楚瑜,"1,500",新北市深坑區
1,200002000000000,朱立倫,"1,140",新北市石碇區
2,200002000000000,蔡英文,"2,786",新北市石碇區
3,200002000000000,宋楚瑜,450,新北市石碇區
1,200002100000000,朱立倫,927,新北市坪林區
2,200002100000000,蔡英文,"2,438",新北市坪林區
3,200002100000000,宋楚瑜,300,新北市坪林區
1,200002200000000,朱立倫,"1,156",新北市烏來區
2,200002200000000,蔡英文,"1,295",新北市烏來區
3,200002200000000,宋楚瑜,586,新北市烏來區
1,200002300000000,朱立倫,"3,471",新北市金山區
2,200002300000000,蔡英文,"6,596",新北市金山區
3,200002300000000,宋楚瑜,"1,104",新北市金山區
1,200002400000000,朱立倫,"3,779",新北市萬里區
2,200002400000000,蔡英文,"6,017",新北市萬里區
3,200002400000000,宋楚瑜,"1,245",新北市萬里區
1,200002500000000,朱立倫,"37,513",新北市汐止區
2,200002500000000,蔡英文,"53,546",新北市汐止區
3,200002500000000,宋楚瑜,"12,922",新北市汐止區
1,200002600000000,朱立倫,852,新北市平溪區
2,200002600000000,蔡英文,"1,581",新北市平溪區
3,200002600000000,宋楚瑜,266,新北市平溪區
1,200002700000000,朱立倫,"7,325",新北市瑞芳區
2,200002700000000,蔡英文,"10,874",新北市瑞芳區
3,200002700000000,宋楚瑜,"2,707",新北市瑞芳區
1,200002800000000,朱立倫,"1,713",新北市雙溪區
2,200002800000000,蔡英文,"2,620",新北市雙溪區
3,200002800000000,宋楚瑜,486,新北市雙溪區
1,300000100000000,朱立倫,"22,563",桃園市蘆竹區
2,300000100000000,蔡英文,"43,527",桃園市蘆竹區
3,300000100000000,宋楚瑜,"10,187",桃園市蘆竹區
1,300000200000000,朱立倫,"24,434",桃園市龜山區
2,300000200000000,蔡英文,"39,495",桃園市龜山區
3,300000200000000,宋楚瑜,"10,293",桃園市龜山區
1,300000300000000,朱立倫,"70,295",桃園市桃園區
2,300000300000000,蔡英文,"113,237",桃園市桃園區
3,300000300000000,宋楚瑜,"30,352",桃園市桃園區
1,200002900000000,朱立倫,"1,725",新北市貢寮區
2,200002900000000,蔡英文,"4,502",新北市貢寮區
3,200002900000000,宋楚瑜,485,新北市貢寮區
1,300000400000000,朱立倫,"12,256",桃園市大園區
2,300000400000000,蔡英文,"25,620",桃園市大園區
3,300000400000000,宋楚瑜,"5,800",桃園市大園區
1,300000500000000,朱立倫,"8,193",桃園市觀音區
2,300000500000000,蔡英文,"20,639",桃園市觀音區
3,300000500000000,宋楚瑜,"4,410",桃園市觀音區
1,300000900000000,朱立倫,"40,402",桃園市平鎮區
2,300000900000000,蔡英文,"53,999",桃園市平鎮區
3,300000900000000,宋楚瑜,"17,617",桃園市平鎮區
1,300000600000000,朱立倫,"7,619",桃園市新屋區
2,300000600000000,蔡英文,"15,897",桃園市新屋區
3,300000600000000,宋楚瑜,"3,327",桃園市新屋區
1,300000700000000,朱立倫,"28,747",桃園市楊梅區
2,300000700000000,蔡英文,"37,912",桃園市楊梅區
3,300000700000000,宋楚瑜,"13,569",桃園市楊梅區
1,300000800000000,朱立倫,"76,846",桃園市中壢區
1,300001000000000,朱立倫,"23,696",桃園市龍潭區
2,300001000000000,蔡英文,"27,280",桃園市龍潭區
3,300001000000000,宋楚瑜,"9,226",桃園市龍潭區
1,300001200000000,朱立倫,"15,669",桃園市大溪區
2,300001200000000,蔡英文,"26,959",桃園市大溪區
3,300001200000000,宋楚瑜,"6,010",桃園市大溪區
1,300001300000000,朱立倫,"2,328",桃園市復興區
2,300001300000000,蔡英文,"1,557",桃園市復興區
3,300001300000000,宋楚瑜,856,桃園市復興區
1,300001100000000,朱立倫,"35,965",桃園市八德區
2,300001100000000,蔡英文,"47,708",桃園市八德區
3,300001100000000,宋楚瑜,"13,991",桃園市八德區
1,400000100000000,朱立倫,"11,719",臺中市大甲區
2,400000100000000,蔡英文,"22,919",臺中市大甲區
3,400000100000000,宋楚瑜,"5,086",臺中市大甲區
1,400000200000000,朱立倫,"3,235",臺中市大安區
2,400000200000000,蔡英文,"6,151",臺中市大安區
3,400000200000000,宋楚瑜,"1,148",臺中市大安區
1,400000300000000,朱立倫,"5,685",臺中市外埔區
2,400000300000000,蔡英文,"8,846",臺中市外埔區
3,400000300000000,宋楚瑜,"2,357",臺中市外埔區
1,400000400000000,朱立倫,"12,908",臺中市清水區
2,400000400000000,蔡英文,"27,086",臺中市清水區
3,400000400000000,宋楚瑜,"5,855",臺中市清水區
2,300000800000000,蔡英文,"93,743",桃園市中壢區
3,300000800000000,宋楚瑜,"30,880",桃園市中壢區
1,400000500000000,朱立倫,"7,930",臺中市梧棲區
2,400000500000000,蔡英文,"16,608",臺中市梧棲區
3,400000500000000,宋楚瑜,"4,118",臺中市梧棲區
1,400000600000000,朱立倫,"13,758",臺中市沙鹿區
2,400000600000000,蔡英文,"25,584",臺中市沙鹿區
3,400000600000000,宋楚瑜,"7,596",臺中市沙鹿區
1,400000700000000,朱立倫,"11,931",臺中市龍井區
2,400000700000000,蔡英文,"22,482",臺中市龍井區
3,400000700000000,宋楚瑜,"6,192",臺中市龍井區
1,400000800000000,朱立倫,"9,504",臺中市大肚區
2,400000800000000,蔡英文,"17,025",臺中市大肚區
3,400000800000000,宋楚瑜,"4,955",臺中市大肚區
1,400001200000000,朱立倫,"8,917",臺中市后里區
2,400001200000000,蔡英文,"16,945",臺中市后里區
3,400001200000000,宋楚瑜,"4,479",臺中市后里區
1,400000900000000,朱立倫,"11,211",臺中市烏日區
2,400000900000000,蔡英文,"22,315",臺中市烏日區
3,400000900000000,宋楚瑜,"6,041",臺中市烏日區
1,400001300000000,朱立倫,"9,029",臺中市神岡區
2,400001300000000,蔡英文,"22,808",臺中市神岡區
3,400001300000000,宋楚瑜,"5,048",臺中市神岡區
1,400001400000000,朱立倫,"15,243",臺中市大雅區
2,400001400000000,蔡英文,"26,558",臺中市大雅區
3,400001400000000,宋楚瑜,"7,806",臺中市大雅區
1,400001500000000,朱立倫,"16,451",臺中市潭子區
2,400001500000000,蔡英文,"32,481",臺中市潭子區
3,400001500000000,宋楚瑜,"9,206",臺中市潭子區
1,400001000000000,朱立倫,"10,215",臺中市霧峰區
2,400001000000000,蔡英文,"20,344",臺中市霧峰區
3,400001000000000,宋楚瑜,"6,047",臺中市霧峰區
1,400001100000000,朱立倫,"27,583",臺中市大里區
2,400001100000000,蔡英文,"60,838",臺中市大里區
3,400001100000000,宋楚瑜,"17,039",臺中市大里區
1,400001600000000,朱立倫,"36,346",臺中市西屯區
2,400001600000000,蔡英文,"57,254",臺中市西屯區
3,400001600000000,宋楚瑜,"17,728",臺中市西屯區
1,400001700000000,朱立倫,"25,248",臺中市南屯區
2,400001700000000,蔡英文,"44,025",臺中市南屯區
3,400001700000000,宋楚瑜,"12,945",臺中市南屯區
1,400001800000000,朱立倫,"44,404",臺中市北屯區
2,400001800000000,蔡英文,"70,388",臺中市北屯區
3,400001800000000,宋楚瑜,"22,087",臺中市北屯區
1,400001900000000,朱立倫,"25,723",臺中市北區
2,400001900000000,蔡英文,"39,983",臺中市北區
3,400001900000000,宋楚瑜,"11,973",臺中市北區
1,400002000000000,朱立倫,"18,616",臺中市西區
2,400002000000000,蔡英文,"33,117",臺中市西區
3,400002000000000,宋楚瑜,"8,608",臺中市西區
1,400002100000000,朱立倫,"2,773",臺中市中區
2,400002100000000,蔡英文,"5,162",臺中市中區
3,400002100000000,宋楚瑜,"1,258",臺中市中區
1,400002200000000,朱立倫,"11,681",臺中市東區
2,400002200000000,蔡英文,"23,757",臺中市東區
3,400002200000000,宋楚瑜,"5,968",臺中市東區
1,400002300000000,朱立倫,"18,808",臺中市南區
2,400002300000000,蔡英文,"34,723",臺中市南區
3,400002300000000,宋楚瑜,"9,611",臺中市南區
1,400002400000000,朱立倫,"27,020",臺中市太平區
2,400002400000000,蔡英文,"52,433",臺中市太平區
3,400002400000000,宋楚瑜,"14,912",臺中市太平區
1,400002500000000,朱立倫,"24,950",臺中市豐原區
2,400002500000000,蔡英文,"54,132",臺中市豐原區
3,400002500000000,宋楚瑜,"12,510",臺中市豐原區
1,400002600000000,朱立倫,"2,837",臺中市石岡區
2,400002600000000,蔡英文,"4,699",臺中市石岡區
3,400002600000000,宋楚瑜,"1,149",臺中市石岡區
1,400002700000000,朱立倫,"4,284",臺中市新社區
2,400002700000000,蔡英文,"7,951",臺中市新社區
3,400002700000000,宋楚瑜,"1,789",臺中市新社區
1,400002800000000,朱立倫,"9,909",臺中市東勢區
2,400002800000000,蔡英文,"14,789",臺中市東勢區
3,400002800000000,宋楚瑜,"3,941",臺中市東勢區
1,400002900000000,朱立倫,"2,087",臺中市和平區
2,400002900000000,蔡英文,"1,878",臺中市和平區
3,400002900000000,宋楚瑜,"1,358",臺中市和平區
1,500000100000000,朱立倫,"2,457",臺南市後壁區
2,500000100000000,蔡英文,"9,730",臺南市後壁區
3,500000100000000,宋楚瑜,"1,095",臺南市後壁區
1,500000200000000,朱立倫,"2,973",臺南市白河區
2,500000200000000,蔡英文,"10,796",臺南市白河區
3,500000200000000,宋楚瑜,"1,191",臺南市白河區
1,500000300000000,朱立倫,"1,082",臺南市北門區
2,500000300000000,蔡英文,"4,133",臺南市北門區
3,500000300000000,宋楚瑜,494,臺南市北門區
1,500000500000000,朱立倫,"2,530",臺南市鹽水區
2,500000500000000,蔡英文,"9,726",臺南市鹽水區
3,500000500000000,宋楚瑜,"1,171",臺南市鹽水區
1,500000400000000,朱立倫,"2,437",臺南市學甲區
2,500000400000000,蔡英文,"10,485",臺南市學甲區
3,500000400000000,宋楚瑜,"1,095",臺南市學甲區
1,500000600000000,朱立倫,"9,811",臺南市新營區
2,500000600000000,蔡英文,"24,205",臺南市新營區
3,500000600000000,宋楚瑜,"4,578",臺南市新營區
1,500000900000000,朱立倫,"1,638",臺南市將軍區
2,500000900000000,蔡英文,"8,238",臺南市將軍區
3,500000900000000,宋楚瑜,725,臺南市將軍區
1,500000700000000,朱立倫,"2,252",臺南市柳營區
2,500000700000000,蔡英文,"8,284",臺南市柳營區
3,500000700000000,宋楚瑜,"1,119",臺南市柳營區
1,500000800000000,朱立倫,"2,100",臺南市東山區
2,500000800000000,蔡英文,"7,145",臺南市東山區
3,500000800000000,宋楚瑜,"1,199",臺南市東山區
1,500001000000000,朱立倫,"2,555",臺南市下營區
2,500001000000000,蔡英文,"9,340",臺南市下營區
3,500001000000000,宋楚瑜,"1,066",臺南市下營區
1,500001100000000,朱立倫,"2,107",臺南市六甲區
2,500001100000000,蔡英文,"8,599",臺南市六甲區
3,500001100000000,宋楚瑜,"1,044",臺南市六甲區
1,500001300000000,朱立倫,"1,931",臺南市七股區
2,500001300000000,蔡英文,"9,284",臺南市七股區
3,500001300000000,宋楚瑜,930,臺南市七股區
1,500001200000000,朱立倫,"2,013",臺南市官田區
2,500001200000000,蔡英文,"9,036",臺南市官田區
3,500001200000000,宋楚瑜,943,臺南市官田區
1,500001400000000,朱立倫,"5,976",臺南市佳里區
2,500001400000000,蔡英文,"22,318",臺南市佳里區
3,500001400000000,宋楚瑜,"2,683",臺南市佳里區
1,500001600000000,朱立倫,"4,669",臺南市善化區
2,500001600000000,蔡英文,"17,593",臺南市善化區
3,500001600000000,宋楚瑜,"2,156",臺南市善化區
1,500001700000000,朱立倫,"1,010",臺南市大內區
2,500001700000000,蔡英文,"3,984",臺南市大內區
3,500001700000000,宋楚瑜,524,臺南市大內區
1,500001500000000,朱立倫,"3,734",臺南市麻豆區
2,500001500000000,蔡英文,"19,653",臺南市麻豆區
3,500001500000000,宋楚瑜,"1,778",臺南市麻豆區
1,500001800000000,朱立倫,"2,177",臺南市玉井區
2,500001800000000,蔡英文,"4,204",臺南市玉井區
3,500001800000000,宋楚瑜,926,臺南市玉井區
1,500001900000000,朱立倫,"1,555",臺南市楠西區
2,500001900000000,蔡英文,"2,539",臺南市楠西區
3,500001900000000,宋楚瑜,823,臺南市楠西區
1,500002000000000,朱立倫,"2,188",臺南市西港區
2,500002000000000,蔡英文,"10,347",臺南市西港區
3,500002000000000,宋楚瑜,997,臺南市西港區
1,500002100000000,朱立倫,"3,038",臺南市安定區
2,500002100000000,蔡英文,"12,078",臺南市安定區
3,500002100000000,宋楚瑜,"1,395",臺南市安定區
1,500002200000000,朱立倫,"3,573",臺南市新市區
2,500002200000000,蔡英文,"13,690",臺南市新市區
3,500002200000000,宋楚瑜,"1,780",臺南市新市區
1,500002300000000,朱立倫,828,臺南市山上區
2,500002300000000,蔡英文,"2,833",臺南市山上區
3,500002300000000,宋楚瑜,349,臺南市山上區
1,500002400000000,朱立倫,"5,215",臺南市新化區
2,500002400000000,蔡英文,"15,451",臺南市新化區
3,500002400000000,宋楚瑜,"2,602",臺南市新化區
1,500002500000000,朱立倫,642,臺南市左鎮區
2,500002500000000,蔡英文,"1,840",臺南市左鎮區
3,500002500000000,宋楚瑜,246,臺南市左鎮區
1,500002600000000,朱立倫,"1,199",臺南市南化區
2,500002600000000,蔡英文,"2,597",臺南市南化區
3,500002600000000,宋楚瑜,731,臺南市南化區
1,500002700000000,朱立倫,"17,640",臺南市安南區
2,500002700000000,蔡英文,"70,685",臺南市安南區
3,500002700000000,宋楚瑜,"10,318",臺南市安南區
1,500002800000000,朱立倫,"18,517",臺南市北區
2,500002800000000,蔡英文,"44,062",臺南市北區
3,500002800000000,宋楚瑜,"8,290",臺南市北區
1,500002900000000,朱立倫,"10,281",臺南市中西區
2,500002900000000,蔡英文,"27,170",臺南市中西區
3,500002900000000,宋楚瑜,"4,403",臺南市中西區
1,500003000000000,朱立倫,"7,868",臺南市安平區
2,500003000000000,蔡英文,"20,410",臺南市安平區
3,500003000000000,宋楚瑜,"4,157",臺南市安平區
1,500003100000000,朱立倫,"16,067",臺南市南區
2,500003100000000,蔡英文,"47,589",臺南市南區
3,500003100000000,宋楚瑜,"7,330",臺南市南區
1,500003200000000,朱立倫,"28,606",臺南市東區
2,500003200000000,蔡英文,"57,465",臺南市東區
3,500003200000000,宋楚瑜,"11,509",臺南市東區
1,500003300000000,朱立倫,"27,712",臺南市永康區
2,500003300000000,蔡英文,"76,315",臺南市永康區
3,500003300000000,宋楚瑜,"14,267",臺南市永康區
1,500003400000000,朱立倫,"9,332",臺南市仁德區
2,500003400000000,蔡英文,"27,233",臺南市仁德區
3,500003400000000,宋楚瑜,"4,160",臺南市仁德區
1,500003500000000,朱立倫,"6,961",臺南市歸仁區
2,500003500000000,蔡英文,"26,101",臺南市歸仁區
3,500003500000000,宋楚瑜,"3,333",臺南市歸仁區
1,500003600000000,朱立倫,"3,967",臺南市關廟區
2,500003600000000,蔡英文,"13,807",臺南市關廟區
3,500003600000000,宋楚瑜,"1,763",臺南市關廟區
1,500003700000000,朱立倫,555,臺南市龍崎區
2,500003700000000,蔡英文,"1,643",臺南市龍崎區
3,500003700000000,宋楚瑜,262,臺南市龍崎區
1,600000100000000,朱立倫,862,高雄市桃源區
2,600000100000000,蔡英文,464,高雄市桃源區
